response_content,response_category
"The OPSA FOIA office has not received any request from you. I hope that your follow-up email will reach the appropriate department.

Thank you,

OPSA - FOIA Office",denial
"Good Morning,

The Orange County Sheriff’s Department has no records responsive to your request. Please note that the records that you seek need to be requested from the County CEO Risk Management office. You may wish to submit a request for records using this link: https://orangecounty.nextrequest.com/.

Thank you,

Regina Rivera
STAFF ASSISTANT
CPRA – RECORDS DIVISION
ORANGE COUNTY SHERIFF’S DEPARTMENT
Tel: (714) 834-4497
Email: rerivera@ocsheriff.gov",denial
"November 6, 2024Lieutenant Christopher Larmore:Worcester County Sheriff's Office1 West Market StreetSnow Hill, Maryland 21863To: Wayne ByunMuckRock NewsDEPT MR 174385263 Huntington AveBoston, MA 02115Mr. Byun,Iam in receipt of your MPIA request regarding Worcester County weekend incarceration fees.You will need to forward your request to the Worcester County Detention Center for any informationregarding inmates.For your convenience | have provided the address and phone number below:Worcester County Detention Center5022 Joyner Rd.Snow Hill, Maryland 2186310632-1300Christopher Larmore:",denial
"Hello:
Please direct your request to the Ohio Attorney General's Office or the Columbus Police Department. We have no records responsive to your request.

Paula Wake-Evans
FCSO Public Records Manager
[cid:image001.png@01DB3A65.C83F2150]",denial
"The Recorders offices in Ohio only keep records related to land transfers.

Please direct your request to the the appropriate office.

Thank you,

Joshua Willis
Harrison County Recorder

Joshua M A Willis

Recorder

Harrison County, Ohio

100 W. Market Street

Cadiz, Ohio 43907

740-942-8869 Office

740-942-4693 Fax

740-310-8293 Cell

jwillis@harrisoncountyohio.<mailto:email@harrisoncountyohio.org>gov

CONFIDENTIALITY NOTICE: This e-mail message may contain confidential and/or privileged material. Any unauthorized review, use, disclosure or distribution is prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and destroy all copies of the original message. If you are the intended recipient but do not wish to receive communications through this medium, please so advise the sender immediately",denial
"Hello,

Thank you for contacting us. The Congressional Budget Office is an office in the legislative branch of the U.S. Government.  As an office of the Congress, CBO is not subject to the Freedom of Information Act.  To ensure that our analytic activities are transparent, however, CBO provides information to the public whenever practicable.

Thank you, and please let us know if you have further questions.

Kind regards,

Caroline Jordan

Communications Associate

Office of Communications

Congressional Budget Office

2nd and D ST, SW

Washington, DC 20515

202-226-2602

caroline.jordan@cbo.gov<mailto:communications@cbo.gov>

Please be aware that the information in this email may be confidential, privileged, or both. This email and related documents (including documents created or compiled in response to this email) are Congressional records, remain under Congressional control, and are not “agency records” subject to the Freedom of Information Act (FOIA) or other law. You should segregate this email and related documents from your agency’s records, and you should not share or otherwise disclose this email or related documents without first discussing the matter with the Congressional Budget Office.",denial
"Mr. Rudenberg,

In regards to your most recent DE DOC FOIA request for electronic copies of the most up-to-date Delaware Department of Corrections policies relating to restrictive housing, including disciplinary and administrative segregation or housing. Please resubmit your request with a Delaware address as this can be denied without one per Statute.

Tim Martin
DE DOC
245 McKee Rd
Dover, DE 19904",denial
"Internal Revenue Service November 18, 2024Privacy, Governmental Liaison and Disclosure Employee name:T. KlingerGLDS Support Services Employee ID number:Stop 93A 1000246154PO Box 621506 Telephone number:Atlanta, GA 30362 949-575-6034Fax number:Curtis WaltmanMuckRock NewsDEPT MR 53877263 Huntington Ave.Boston, MA 02115855-205-9335Case number:2025-01691Dear Curtis Waltman:This is a final response to your request we received on October 23, 2024.You asked when you can expect a response to your FOIA requests submit on May 1, 2018 andOctober 25, 2016.On October 24, 2024 and November 5, 2024, we sent you an email to 53077-24170744@requests.muckrock.com asking for the FOIA case numbers. Since we have notreceived the needed information, we cannot conduct a search. Therefore, we are closing yourrequest with no further action. You may resubmit your perfected request to the IRS by fax at877-891-6035, electronically through IRS.gov/FOIA or FOIA.gov, or send to the address below:Internal Revenue ServiceGLDS Support ServicesStop 93APO Box 621506Atlanta, GA 30362If you have questions regarding the processing of your FOIA request, please contact thecaseworker assigned to your case at the phone number listed at the top of this letter.If you are not able to resolve any concerns you may have regarding our response with thecaseworker, you have the right to seek dispute resolution services by contacting our FOIA PublicLiaisons at 312-292-2929. The FOIA Public Liaison is responsible for assisting in reducingdelays, increasing transparency, and assisting in the resolution of disputes with respect to theFOIA.There is no provision for the FOIA Public Liaison to address non-FOIA concerns such as returnfiling and other tax-related matters or personnel matters.
p. 2
If you need assistance with tax-related issues, you may call the IRS at 800-829-1040.Sincerely,D. Fitti-HaferDisclosure Manger",denial
The request has been rejected by the agency.,denial
"--- Please respond above this line ---
RE: PUBLIC RECORDS REQUEST Reference # P000239-110524. Dear Emmanuel Esquivel, This request appears to be a duplicate request. I am closing this request out and will respond on your new request. Sincerely, Melissa Garibay
City of Oxnard
300 West Third Street
Oxnard, CA 93030",denial
"DEPARTMENT OF DEFENSEFREEDOM OF INFORMATION DIVISION1155 DEFENSE PENTAGONWASHINGTON, DC 20301-1155Ref: 25-F-0549November 15, 2024Mr. Brett CarolloMuckRock NewsDept Mr 175564263 Huntington AvenueBoston, MA 02115Dear Mr. Carollo:This is a final response to your October 29, 2024 Freedom of Information Act (FOIA)request, a copy of which is enclosed for your convenience. The Office of the Secretary ofDefense/Joint Staff (OSD/JS) FOIA Requester Service Center received your request onOctober 30, 2024, and assigned it FOIA case number 25-F-0549. We ask that you use thisnumber when referring to your request.We requested that you include a specific time frame and name of personnel for emailcommunication needed to process your request in a letter dated November 5, 2024. Since wehave not received a response from you, we are administratively closing this request for not beingreasonably described. While this request is now closed in our office, you may, of course, submita new request, providing the above requested information, at any time, and the new request willbe assigned a new tracking number and be processed according to the new date of receipt.Should you wish to inquire about mediation services, you may contact the OSD/JS FOIAPublic Liaison, Toni Fuentes, at 571-372-0462, or by email at OSD.FOIALiaison@mail.mil.You may also contact the Office of Government Information Services (OGIS) at the NationalArchives and Records Administration to inquire about the FOIA mediation services they offer.The contact information for OGIS is as follows: email: ogis@nara.gov, or phone: 202-741-5770or 1-877-684-6448.You have the right to appeal to the appellate authority, Ms. Joo Chung, Assistant to theSecretary of Defense for Privacy Civil Liberties, and Transparency (PCLT), Office of theSecretary of Defense, at the following address: 4800 Mark Center Drive, ATTN: PCLFD, FOIAAppeals, Mailbox #24, Alexandria, VA 22350-1700.Your appeal must be postmarked within 90 calendar days of the date of this response.Alternatively, you may email your appeal to osd.foia-appeal@mail.mil. If you use email, pleaseinclude the words ""FOIA Appeal"" in the subject of the email. ",denial
"October 28, 2024

MuckRock News
DEPT MR 175195263
Huntington Ave
Boston, MA 02111

Re: Open Records Request Related to Elijah Vue Investigation

Dear Mr. David Yupa,

The City of Two Rivers is in receipt of your Public Records Request dated October 24, 2024. This letter serves as the City’s response to your open records request in which you requested “any and all records and materials related to the case of Suspect Name: Jesse Vang.” For the reasons explained in detail below, the City is unable to grant you access to the above described records.

Your request seeks the disclosure of information and records pertaining to an ongoing criminal investigation and prosecution. Wisconsin law specifically exempts records related to a criminal prosecution from disclosure, even once the prosecution is complete. State ex rel. Richards v. Foust, 165 Wis. 2d 429, 433-34, 477 N.W.2d 608 (1991). Investigations and data and information collected for investigation are exempt from disclosure. Id. at 435-36. Furthermore, documents integral to the criminal investigation and prosecution processes are specifically protected from public inspection. See State ex rel. Davis v. Chisholm, 2008 WI App 51, 309 Wis. 2d 235, 747 N.W.2d 528; and see State ex rel. Lafaive v. Records Custodian Waukesha Cty. DA, 2023 WI App 32, 408 Wis. 2d 543, 993 N.W.2d 180.

As such, given that this matter is currently pending criminal investigation and prosecution, the City of Two Rivers is unable to complete your request to the extent that it requests investigatory records. Additionally, the records you request also include crime victim information exempt from disclosure by the Wisconsin Constitution. The Wisconsin Constitution specifically provides: “This state shall treat crime victims, as defined by law, with fairness, dignity and respect for their privacy.” Wis. Const. art. I, § 9m. This policy is further embodied in Wis. Stat. § 950.04(1v)(ag), governing rights of crime victims, and Wis. Stat. § 950.055(1), governing rights of juvenile crime victims.

Applying the constitution and these statutes, Wisconsin courts recognize “that justice requires that all who are engaged in the prosecution of crimes make every effort to minimize further suffering by crime victims.” Schilling v. Crime Victims Rights Bd., 2005 WI 17, 26, 278 Wis. 2d 216, 692 N.W.2d 623. Here, Wisconsin courts have made it clear that the public policy interest in protecting the privacy of victims of crime—especially children affected by very sensitive crimes—“weighs heavily in favor of nondisclosure.” Democratic Party of Wis. v. Wis. DOJ, 2016 WI 100, ¶14, 372 Wis. 2d 460, 888 N.W.2d 584. Pursuant to this, the City of Two Rivers is unable to release information that would compromise the privacy of the deceased child.

As a result of these two exceptions to Wisconsin's open records law, the City of Two Rivers is unable to complete your request at this time.

Respectfully,
[Signature]
Spekpatis",denial
"Greetings,

Your request was received today by fax. You have sent this request to the wrong state and agency.

Lieutenant Nathaniel Huddleston

Fayette County Sheriff's Office

Support Services Division

155 Johnson Avenue

Fayetteville, GA 30214

Open Records Request: orrequest@fayettecountyga.gov",denial
"p. 1
U.S. Department of JusticeFederal Bureau of InvestigationWashington, D.C. 20535November 13, 2024MUCKROCK NEWSDEPT MR 176026263 HUNTINGTON AVENUEBOSTON, MA 02115Request No.: 1651683-000Subject: NIETO, ENRIQUE PENA(December 1, 2012 to November 30, 2018)Dear Hiroshi Takahashi:This acknowledges receipt of your Freedom of Information Act (FOIA) request to the FBI. The FOIPARequest Number listed above has been assigned to your request. Below you will find information relevant to yourrequest. Please read each paragraph carefully.You have requested records on one or more third party individuals. Please be advised the FBI will neitherconfirm nor deny the existence of such records pursuant to FOIA exemptions (b)(6) and (b)(7)(C), 5 U.S.C. §§ 552(b)(6) and (b)(7)(C). The mere acknowledgement of the existence of FBI records on third party individuals couldreasonably be expected to constitute an unwarranted invasion of personal privacy. This is our standard response tosuch requests and should not be taken to mean that records do, or do not, exist. As a result, your request has beenclosed. Please visit www.fbi.gov/foia and select “Requesting FBI Records” for more information about makingrequests for records on third party individuals (living or deceased).If you submitted your request through the FBI’s eFOIPA portal and you are receiving correspondencethrough standard mail, it was determined your request did not meet the eFOIPA terms of service.Should you have questions regarding your request, please feel free to contact foipaquestions@fbi.gov.Please reference the FOIPA Request number listed above in all correspondence concerning your request.If you are not satisfied with the Federal Bureau of Investigation’s determination in response to this request,you may administratively appeal by writing to the Director, Office of Information Policy (OIP), United StatesDepartment of Justice, 441 G Street, NW, 6th Floor, Washington, D.C. 20530, or you may submit an appeal throughOIP's FOIA STAR portal by creating an account following the instructions on OIP’s website:https://www.justice.gov/oip/submit-and-track-request-or-appeal. Your appeal must be postmarked or electronicallytransmitted within ninety (90) days of the date of my response to your request. If you submit your appeal by mail,both the letter and the envelope should be clearly marked ""Freedom of Information Act Appeal."" If possible, pleaseprovide a copy of your original request and this response letter with your appeal.You may seek dispute resolution services by emailing the FBI’s FOIA Public Liaison atfoipaquestions@fbi.gov. The subject heading should clearly state “Dispute Resolution Services.” Please also citethe FOIPA Request Number assigned to your request so it may be easily identified. You may also contact the Officeof Government Information Services (OGIS). The contact information for OGIS is as follows: Office of GovernmentInformation Services, National Archives and Records Administration, 8601 Adelphi Road-OGIS, College Park,Maryland 20740-6001, e-mail at ogis@nara.gov; telephone at 202-741-5770; toll free at 1-877-684-6448; or facsimileat 202-741-5769.Enclosed for your information is a copy of the Explanation of Exemptions.Sincerely,Michael G. SeidelSection ChiefRecord/Information Dissemination SectionInformation Management DivisionEnclosure
p. 2
EXPLANATION OF EXEMPTIONSSUBSECTIONS OF TITLE 5, UNITED STATES CODE, SECTION 552(b)(1) (A) specifically authorized under criteria established by an Executive order to be kept secret in the interest of national defense or foreignpolicy and (B) are in fact properly classified to such Executive order;(b)(2) related solely to the internal personnel rules and practices of an agency;(b)(3) specifically exempted from disclosure by statute (other than section 552b of this title), provided that such statute (A) requires that thematters be withheld from the public in such a manner as to leave no discretion on issue, or (B) establishes particular criteria for withholdingor refers to particular types of matters to be withheld;(b)(4) trade secrets and commercial or financial information obtained from a person and privileged or confidential;(b)(5) inter-agency or intra-agency memorandums or letters which would not be available by law to a party other than an agency in litigation withthe agency;(b)(6) personnel and medical files and similar files the disclosure of which would constitute a clearly unwarranted invasion of personal privacy;(b)(7) records or information compiled for law enforcement purposes, but only to the extent that the production of such law enforcement recordsor information ( A ) could reasonably be expected to interfere with enforcement proceedings, ( B ) would deprive a person of a right to afair trial or an impartial adjudication, ( C ) could reasonably be expected to constitute an unwarranted invasion of personal privacy, ( D )could reasonably be expected to disclose the identity of confidential source, including a State, local, or foreign agency or authority or anyprivate institution which furnished information on a confidential basis, and, in the case of record or information compiled by a criminal lawenforcement authority in the course of a criminal investigation, or by an agency conducting a lawful national security intelligenceinvestigation, information furnished by a confidential source, ( E ) would disclose techniques and procedures for law enforcementinvestigations or prosecutions, or would disclose guidelines for law enforcement investigations or prosecutions if such disclosure couldreasonably be expected to risk circumvention of the law, or ( F ) could reasonably be expected to endanger the life or physical safety of anyindividual;(b)(8) contained in or related to examination, operating, or condition reports prepared by, on behalf of, or for the use of an agency responsible forthe regulation or supervision of financial institutions; or(b)(9) geological and geophysical information and data, including maps, concerning wells.SUBSECTIONS OF TITLE 5, UNITED STATES CODE, SECTION 552a(d)(5) information compiled in reasonable anticipation of a civil action proceeding;(j)(2) material reporting investigative efforts pertaining to the enforcement of criminal law including efforts to prevent, control, or reduce crimeor apprehend criminals;(k)(1) information which is currently and properly classified pursuant to an Executive order in the interest of the national defense or foreignpolicy, for example, information involving intelligence sources or methods;(k)(2) investigatory material compiled for law enforcement purposes, other than criminal, which did not result in loss of a right, benefit orprivilege under Federal programs, or which would identify a source who furnished information pursuant to a promise that his/her identitywould be held in confidence;(k)(3) material maintained in connection with providing protective services to the President of the United States or any other individual pursuantto the authority of Title 18, United States Code, Section 3056;(k)(4) required by statute to be maintained and used solely as statistical records;(k)(5) investigatory material compiled solely for the purpose of determining suitability, eligibility, or qualifications for Federal civilianemployment or for access to classified information, the disclosure of which would reveal the identity of the person who furnishedinformation pursuant to a promise that his/her identity would be held in confidence;(k)(6) testing or examination material used to determine individual qualifications for appointment or promotion in Federal Government servicethe release of which would compromise the testing or examination process;(k)(7) material used to determine potential for promotion in the armed services, the disclosure of which would reveal the identity of the personwho furnished the material pursuant to a promise that his/her identity would be held in confidence.FBI/DOJ",denial
"Hello,

As you can see in the highlighted section below, your original request was submitted through the online portal and not through the public information office. Therefore, the public information office cannot assist with your request as we have no record of it. To appropriately follow up on your request, please contact the records department at 719-444-7463 or access your account here: https://aca-prod.accela.com/COSPRINGS/Default.aspx

Caitlin Ford
Sr. Public Communications Specialist
Colorado Springs Police Department
719-444-7621 (office)
Caitlin.ford@coloradosprings.gov<mailto:Caitlin.ford@coloradosprings.gov>",denial
"Sonny Albarado,

The Arkansas Department of Corrections received your request below. APB Directive 17-01 referenced in your request was superseded by Secretarial Directive 2022-10.

Revocation files are considered part of an offender's records and are unlawful to inspect, disclose, or issue a copy of according to A.C.A. § 12-27-113(e)(2).

Parole hearings or post-prison release hearings allowable for public inspection are available via the public search tools on the DOC website, Release Hearing Decision Search Tool<https://app.ar.tylertech.com/apb/search/index.php/decisions> . Parole hearings or post-prison release hearings allowable for public inspection can also be found in the Arkansas Post-Prison Transfer Board monthly performance report on parole applications and outcomes. This report is published monthly on the arkleg.state.ar.us website as part of the agenda for each month's Arkansas Legislative Council meeting.

Also, for future FOIA requests, please email them to the FOIA email address, doc.foia@doc.arkansas.gov<mailto:doc.foia@doc.arkansas.gov>.

Thank you,
LATISHA MEADOWS
Quality Assurance Coordinator
Arkansas Department of Corrections
Phone: 1-501-537-7677
Email: Latisha.Meadows@doc.arkansas.gov<mailto:Latisha.Meadows@doc.arkansas.gov>",denial
"The request has been rejected by the agency. Postmark: October 26, 2023",denial
"North Carolina State University

************************************************************************

Record request #24-163 has been closed. The closure reason supplied was:

NC State is closing this request due to lack of response from the requester.

This message serves as NC State University's final response to your records request.

Best regards,

NC State University",denial
"Taylor Amarel
MuckRock News DEPT MR 56782
411A Highland Ave
Somerville, Massachusetts 02144

11/13/2024

CBP-2018-068405

Dear Taylor Amarel,

As no response was received to CBP's request for your continued interest in records within 30 days, FOIA request CBP-2018-068405 to U.S. Customs and Border Protection has been closed as Withdrawn.

Please note that this message has been sent from an unmonitored e-mail account. Any messages sent to this account will not be read.

Sincerely,

U.S. Customs and Border Protection",denial
"Please see attached.

I was trying to find different ways to search to fulfill your request, however, we do not have a report that would provide this information.

Kim Smith
Administrative Assistant
Chenango County Sheriff’s Office
279 Co Rd 46, Norwich, NY 13815
607-337-1848
[A picture containing logo Description automatically generated]",denial
"Forwarding your request to Stephanie Matthews in the Department of Correction due to the Office of Finance is not the responding agency for your request.

I have added Stephanie Matthews to this email communication and she or the Department of Corrections can assist you with this matter.

Thanks.",denial
"This was forwarded to the Detention Center, which is the keeper of this information.",denial
"Marley St. James:


I am responding to two requests for public records dated August 28, 2028
(172645-31274165), and August 29, 2028 (172648-11021220).


August 28, 2024 Request


This request is denied under the California Public Records Act. You seek
records that are protected by federal law (FERPA) and therefore exempt under
the California Public Records Act (Govt Code § 7927.705). As student
records, we can provide them to you upon receiving a signed and dated FERPA
authorization specifically identifying the student records that you seek.
Once we gather the records, we will provide you with the costs to obtain
them.


August 29, 2024 Request


You have previously been provided with police and discipline records. There
are no additional records.


In connection with your request for your emails, we will conduct a search
for them upon receiving a signed and dated FERPA authorization specifically
seeking the records.


Sincerely yours,


Robert M. Myers
Campus Counsel
Santa Monica College
1900 Pico Boulevard
Santa Monica, California 90405
e-mail: <mailto:Myers_Robert@smc.edu> Myers_Robert@smc.edu",denial
"To Whom It May Concern,

This is a response to your open records request submitted to the Pulaski County Sheriff's Office on August 2, 2024, via fax. After reviewing your request, I am denying it based on the following:

As of June 29, 2021, only ""residents of the Commonwealth"" may request to inspect public records, as per KRS 61.872(3). ""Residents of the Commonwealth"" include:

Individuals residing in Kentucky,
Domestic business entities with a location in Kentucky,
Foreign business entities registered with the Kentucky Secretary of State,
Individuals employed and working at a location in Kentucky, and
Any individual or business entity representing one of these residents (KRS 61.870(10)).
Additionally, ""news-gathering organizations,"" as specifically defined in KRS 189.635(8)(b), may also request to inspect public records under the Open Records Act.

If you have further questions or concerns, please contact my office at 606-678-5145.

Sincerely,
Naked Todd Wilson
Chief Deputy",denial
"Dear e e,

The status of your FOIA request #24-FOIA-00084 has been updated to the following status 'Received'. To log into the DOJ-OJP Public Access Link click on the Application URL below.

https://foiapal.ojp.usdoj.gov

Sincerely,
DOJ-OJP Public Access Link",other
"Your request FOIL-2023-002-00135 has been successfully submitted to the Mayor's Office (OOM).
The details of your request are shown below.

Request Title: FTX

Request Description: To Whom It May Concern:

Pursuant to the New York Freedom of Information Law, I hereby request the following records:

Any email or text message sent or received by any employee of your agency between January 1, 2022 and the date on which this request is processed which contains the keyword phrases ""FTX,"" ""Sam Bankman-Fried,"" or ""SBF.""

The requested documents will be made available to the general public, and this request is not being made for commercial purposes.

In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 5 business days, as the statute requires.

Sincerely,

Jake Offenhartz

Upload documents directly: https://www.muckrock.com/


Requester's Contact Information



Name:
Jake Offenhartz

Title:
Not provided

Organization:
Not provided

Email:
requests@muckrock.com (mailto:requests@muckrock.com)

Phone Number:
Not provided

Fax Number:
Not provided

Street Address (line 1):
Not provided

Street Address (line 2):
Not provided

City:
Not provided

State:
Not provided

Zip Code:
Not provided

You can view the request and take any necessary action at the following webpage: https://a860-openrecords.nyc.gov/request/view/FOIL-2023-002-00135. (https://a860-openrecords.nyc.gov/request/view/FOIL-2023-002-00135)",other
"This message is to confirm your request submission to the FOIAonline application: View Request. Request information is as follows: (https://www.foiaonline.gov/foiaonline/action/public/submissionDetails?trackingNumber=SBA-2020-000145&type=request)

* Tracking Number: SBA-2020-000145
* Requester Name: Jacob Queern
* Date Submitted: 11/21/2019
* Request Status: Submitted
* Description:
Please See attachment for description",other
"Your message has been received by Baltimore County Department of Health and Human Services.

Connect with Baltimore County

[https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-facebook.png]<https://www.facebook.com/baltcogov> [https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-twitter.png] <https://twitter.com/BaltCoGov> [https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-news.png] <https://www.baltimorecountymd.gov/News/BaltimoreCountyNow> [https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-youtube.png] <https://www.youtube.com/user/BaltimoreCounty> [https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-flickr.png] <https://www.flickr.com/photos/baltimorecounty> [https://www.baltimorecountymd.gov/files/departments/information-technology/images/social-icon-linkedin.png] <https://www.linkedin.com/company/baltimore-county-government>
www.baltimorecountymd.gov<https://www.baltimorecountymd.gov>",other
"City of Providence

************************************************************************

Your record request #24-1428 has been submitted successfully.

You will receive a response within ten (10) business days.  Your request will be available for the public to view thirty (30) days after you receive a final response.

As the requester, you can always see the status of your
request by signing into the City of Providence
portal.

If you haven't already signed in, you may need to
activate or setup your account to get started.
Once your account is activated, you can communicate directly with the City of Providence through NextRequest.

************************************************************************
Reply to this email or sign in to contact City of Providence.<br><br>
<a href=""https://providenceri.nextrequest.com/settings?id=1657549"">Change your email settings</a> | <a href=""https://www.nextrequest.civicplus.help/hc/en-us/categories/17720084172567-Requesters"">Visit our help center</a>",other
"Thank you for submitting your FOIA request through FOIA.GOV to Federal Emergency Management Agency!
You can track the status of your request, communicate with the agency regarding this request, or search previously released documents in our reading room using the SecureRelease portal. If you do not already have a SecureRelease portal account you can sign-up (https://www.securerelease.us/account-page/sign-in/) here, just make sure to use requests@muckrock.com when you sign up to gain access to your request details. (https://www.securerelease.us/account-page/sign-in/)

Should you have an inquiry related to your SecureRelease user account or concerning www.securerelease.us, please email SecureRelease Support and a member of our team will be happy to assist. (https://www.securerelease.us/)

Take care,


SecureRelease™ Support (Contractor)
securereleasepublicsupport@deloitte.com Do NOT respond to this email. The SecureRelease™ Support desk is not operated by a FOIA Office or Agency personnel, and does not process requests--please do not send request details, supporting documentation, or other sensitive information to this inbox. Additionally, please note that SecureRelease™ Support is unable to provide updates concerning the processing, status, or timeline of requests, nor can we offer guidance with regard to agency procedures. For these inquiries, please contact the Agency or refer to their website.",other
"Dear T. McElwee,

A temporary password has been issued and sent to the email address provided. Please check your email for this temporary password and return to https://ifa.dea.gov/foia to login. If you have any previously submitted requests to DEA you will be able to view them by logging into your user account

Kindly change the password provided by us.
Regards,
DEA",other
"Case Number: 23-00859-FSubject: Documents including its Charter, Concept of Operations, Standard Operating Policy andProcedures, Strategic Plan, and all its executed Memoranda of Understanding with federalagencies governing the use of ""Merlin"" network including Merlin rules and behaviorT. McElweeSent via e-mail: 129070-73705180@requests.muckrock.comDear T. McElwee:This letter responds to your Freedom of Information Act/Privacy Act (FOIA/PA) requestdated October 21, 2019, addressed to the Drug Enforcement Administration (DEA), FOIA/PAUnit, seeking access to information regarding the above subject.A determination has been made to deny your request pursuant to subsections of the FOIA,5 U.S.C. § 552, and/or the PA, 5 U.S.C. § 552a, referenced at the end of this letter. An enclosurewith this letter explains these exemptions in more detail. Please be advised that for each of theexemptions cited, it is reasonably foreseeable that disclosure of the information withheld wouldharm the interests protected by these exemptions.The rules and regulations of the DEA applicable to FOIA/PA requests are contained in theCode of Federal Regulations, Title 28, Part 16, as amended. They are published in the FederalRegister available to the public (see https://www.ecfr.gov/current/title-28/chapter-I/part-16).For your information, Congress excluded three discrete categories of law enforcement andnational security records from the requirements of the FOIA. See 5 U.S.C. § 552(c). Thisresponse is limited to those records that are subject to the requirements of the FOIA. This is astandard notification that is given to all our requesters and should not be taken as an indication thatexcluded records do, or do not, exist.You may contact our FOIA Public Liaison at (571) 776-2300 for any further assistance andto discuss any aspect of your request. Additionally, you may contact the Office of GovernmentInformation Services (OGIS) at the National Archives and Records Administration to inquireabout the FOIA mediation services they offer. The contact information for OGIS is as follows:Office of Government Information Services, National Archives and Records Administration,Room 2510, 8601 Adelphi Road, College Park, Maryland 20740-6001; e-mail at ogis@nara.gov;telephone at (202) 741-5770; toll free at 1-877-684-6448; or facsimile at (202) 741-5769.U.S. Department of JusticeDrug Enforcement AdministrationFOIA and Privacy Act Unit8701 Morrissette DriveSpringfield, VA 22152
p. 2
Case Number: 23-00859-F Page 2If you are not satisfied with DEA’s determination in response to this request, you mayadministratively appeal by writing to the Director, Office of Information Policy (OIP), UnitedStates Department of Justice, 441 G Street, NW, 6th Floor, Washington, D.C. 20530, or you maysubmit an appeal through OIP's FOIA STAR portal by creating an account following theinstructions on OIP’s website: https://www.justice.gov/oip/submit-and-track-request-or-appeal. Your appeal must be postmarked or electronically transmitted within 90 days of the dateof my response to your request. If you submit your appeal by mail, both the letter and theenvelope should be clearly marked ""Freedom of Information Act Appeal.""If you have any questions regarding this letter, you may contact our Requester ServiceCenter at (571) 776-2300.Sincerely,FOIA/PA UnitFOIA & Information Law SectionOffice of Chief CounselDrug Enforcement Administration",other
"Records only provide incident report or check background. I have forward you to another department that can assist you.


~WRD000",other
"Dear Brett Carollo,
The status of your FOIA request #25-F-0549 has been updated to the following status 'Received'. To log into the PAL Application click on the Application URL below.

https://pal.whs.mil

Sincerely,
OSD/JS or DLA FOIA Requester Service Center",other
"Dear Brett Carollo,

Case Number 25-F-0549 has been assigned to the request you submitted. In all future correspondence regarding this request please reference case number 25-F-0549.
Regards,
OSD/JS or DLA FOIA Requester Service Center",other
"Hello,

A response letter was sent to you on 10/28/24.
Please refer to that.

Thank you.

--
Susie Griepentrog
*Police SecretaryTwo Rivers Police Dept1717 E Park St/PO Box 87Two Rivers
WI 54241920-793-5505susgri@two-rivers.org <susgri@two-rivers.org>*
*Attachments area*",other
"Taylor Amarel
MuckRock News DEPT MR 56782
411A Highland Ave
Somerville, Massachusetts 02144
10/08/2024

CBP-2018-068405

Dear Taylor Amarel:

Due to the transition to SecureRelease, a new Freedom of Information Act (FOIA) processing system, and an unprecedented growth in the number of FOIA requests submitted to U.S. Customs and Border Protection (CBP), we are reviewing our cases to ensure the most efficient processing of backlogged FOIA requests.

Given the amount of time that has passed since the filing of your request, we are reaching out to determine whether you are still interested in pursuing your request for records in FOIA Case CBP-2018-068405, in which you requested All emails sent to, from, or copied to Kevin McAleenan (Customs and Border Protection Commissioner) from May 26, 2018 to Present Day containing any of the following non-case-sensitive key-strings: ""EB-5"", ""Amarel"", ""Whistleblower"", ""stephen miller"", ""broken families"", ""resignation"", ""kushner"", ""prosecution"", ""suspension"" or ""family separation""..

If you are no longer interested, then no further action is required.

You may also contact us to withdraw your case. This will help ensure that other requests are not delayed unnecessarily by expending limited time and resources on a request that is no longer of interest.

If you are still interested in pursuing your FOIA request, please send an email to CBP's FOIA Public Liaison, at cbpfoiapublicliaison@cbp.dhs.gov or mail a letter to 1300 Pennsylvania Avenue, NW MS 1181, Washington DC, 20229 or call 202-325-0150. (If you need telecommunication relay service (TRS) assistance to communicate with the CBP FOIA Office and you are in the United States, please dial 711 to obtain TRS assistance and notify the Communications Assistant that you want to contact the CBP FOIA Office at the telephone number (202) 325-0150.)
Please be advised that if you are still interested in these records, CBP FOIA may need to reach out to you for a narrowed search as such emails may produce several ""non-responsive"" attachments and news clippings.

In the subject line, please notate file number CBP-2018-068405 and “Still Interested” on any future correspondence to CBP related to this request.

This is not a denial of your request. If we do not hear from you within 30 days from the date of this letter, we will assume you are no longer interested in this FOIA request, and the case will be administratively closed as withdrawn.

Sincerely,

FOIA Division
U.S. Customs and Border Protection",other
